rank	name	verdict	download_count	n_direct_deps	n_in_dataset	n_tp	n_notp	n_unk	dep_tp_ratio
1	boto3	notp	1577565199	3	3	0	3	0	0.0
2	packaging	tp	1293053828						
3	urllib3	tp	1216636342						
4	setuptools	notp	1190423972						
5	certifi	tp	1103110944						
6	requests	tp	1069042689	4	4	4	0	0	1.0
7	typing-extensions	tp	1068493000						
8	botocore	notp	1062035920	4	4	2	2	0	0.5
9	idna	tp	1040689373						
10	charset-normalizer	tp	1006015167						
11	aiobotocore	tp	896688206	8	8	4	4	0	0.5
12	python-dateutil	notp	827266794	1	1	0	1	0	0.0
13	six	notp	794696816						
14	cryptography	tp	761066003	3	3	1	2	0	0.3333333333333333
15	grpcio-status	notp	734904368	3	3	1	2	0	0.3333333333333333
16	cffi	notp	682288214	1	1	0	1	0	0.0
17	numpy	tp	672445442						
18	pyyaml	notp	668225120						
19	s3transfer	notp	646171099	1	1	0	1	0	0.0
20	pip	tp	626136875						
21	pycparser	notp	625696446						
22	pluggy	tp	594714119						
23	pydantic	tp	587618961	1	1	1	0	0	1.0
24	pygments	notp	567433041						
25	s3fs	notp	564128617	3	3	2	1	0	0.6666666666666666
26	fsspec	notp	563207743						
27	click	tp	546809808	1	1	0	1	0	0.0
28	protobuf	notp	512974134						
29	pandas	tp	500523747	5	5	4	1	0	0.8
30	attrs	tp	495762173						
31	pydantic-core	tp	493834537	1	1	1	0	0	1.0
32	pytest	tp	471234814	7	7	4	3	0	0.5714285714285714
33	anyio	tp	458366881	3	3	3	0	0	1.0
34	markupsafe	tp	458324754						
35	h11	notp	457173618						
36	iniconfig	tp	453508388						
37	platformdirs	tp	442146062						
38	jmespath	notp	435987560						
39	wheel	tp	428939595	1	1	1	0	0	1.0
40	annotated-types	notp	425713004	1	1	1	0	0	1.0
41	filelock	tp	412892154						
42	jinja2	tp	412188165	1	1	1	0	0	1.0
43	importlib-metadata	notp	391726979	1	1	0	1	0	0.0
44	pathspec	tp	377878452						
45	pyjwt	tp	376166824						
46	rsa	notp	374741833	1	1	0	1	0	0.0
47	httpx	notp	373997801	4	4	3	1	0	0.75
48	zipp	notp	372545590						
49	pytz	tp	371897428						
50	httpcore	notp	367999600	2	2	1	1	0	0.5
51	typing-inspection	tp	367893516	1	1	1	0	0	1.0
52	pyasn1	notp	360416630						
53	aiohttp	tp	335099063	8	8	7	1	0	0.875
54	python-dotenv	tp	334327298						
55	rich	notp	332901078	2	2	0	2	0	0.0
56	multidict	tp	326386553	1	1	1	0	0	1.0
57	jsonschema	tp	324892787	4	4	4	0	0	1.0
58	google-auth	tp	321919477	2	2	1	1	0	0.5
59	tzdata	tp	316140058						
60	yarl	tp	314911256	3	3	3	0	0	1.0
61	colorama	notp	314755393						
62	tqdm	tp	309660601	2	2	0	2	0	0.0
63	google-api-core	tp	307933683	6	6	3	3	0	0.5
64	grpcio	notp	304676189	1	1	1	0	0	1.0
65	tomli	notp	301801906						
66	awscli	notp	300881335	6	6	0	6	0	0.0
67	virtualenv	tp	299419146	6	6	4	2	0	0.6666666666666666
68	frozenlist	tp	296997727						
69	propcache	tp	295011211						
70	googleapis-common-protos	tp	293489359	1	1	0	1	0	0.0
71	requests-oauthlib	notp	293133983	2	2	2	0	0	1.0
72	rpds-py	tp	290546971						
73	markdown-it-py	notp	289397710	1	1	0	1	0	0.0
74	referencing	tp	287736843	3	3	3	0	0	1.0
75	aiosignal	tp	286822687	2	2	2	0	0	1.0
76	wrapt	notp	286795424						
77	greenlet	notp	285167012						
78	pillow	tp	284122904						
79	pyasn1-modules	notp	283880829	1	1	0	1	0	0.0
80	sqlalchemy	notp	282345038	1	1	1	0	0	1.0
81	mdurl	notp	281333630						
82	scipy	notp	278660633	1	1	1	0	0	1.0
83	jsonschema-specifications	tp	276581647	1	1	1	0	0	1.0
84	pyarrow	notp	275444140						
85	trove-classifiers	tp	273471726						
86	uvicorn	tp	266730168	3	3	2	1	0	0.6666666666666666
87	aiohappyeyeballs	tp	263187063						
88	starlette	tp	259959386	2	2	2	0	0	1.0
89	oauthlib	tp	259790902						
90	psutil	notp	257412763						
91	pyparsing	notp	257232331						
92	fastapi	tp	254201033	5	5	5	0	0	1.0
93	google-genai	tp	239354154	11	11	8	3	0	0.7272727272727273
94	cachetools	notp	237512456						
95	opentelemetry-proto	notp	237301325	1	1	0	1	0	0.0
96	tenacity	tp	236580727						
97	et-xmlfile	notp	232315925						
98	openpyxl	notp	231935749	1	1	0	1	0	0.0
99	grpcio-tools	notp	231409132	3	3	0	3	0	0.0
100	opentelemetry-semantic-conventions	notp	230284804	2	2	1	1	0	0.5
101	tomlkit	notp	228346335						
102	regex	notp	223705227						
103	opentelemetry-sdk	notp	220071714	3	3	1	2	0	0.3333333333333333
104	sniffio	notp	218938831						
105	websocket-client	notp	217359034						
106	yandexcloud	notp	214754452	9	9	4	5	0	0.4444444444444444
107	soupsieve	tp	214280163						
108	beautifulsoup4	notp	213697886	2	2	2	0	0	1.0
109	distlib	notp	213207419						
110	lxml	notp	212466192						
111	opentelemetry-api	notp	211990193	2	2	1	1	0	0.5
112	shellingham	tp	211790348						
113	more-itertools	notp	208631453						
114	langchain	tp	208166914	3	3	3	0	0	1.0
115	hatchling	tp	207003932	5	5	4	1	0	0.8
116	requests-toolbelt	notp	205718871						
117	exceptiongroup	tp	201648248	1	1	1	0	0	1.0
118	docutils	notp	201247186						
119	opentelemetry-exporter-otlp-proto-grpc	notp	200870366	8	8	2	6	0	0.25
120	mypy-extensions	notp	199233520						
121	annotated-doc	tp	195868045						
122	proto-plus	notp	194614310	1	1	0	1	0	0.0
123	websockets	tp	192663330						
124	pyopenssl	tp	191458334	2	2	2	0	0	1.0
125	google-cloud-storage	notp	189597111	6	6	4	2	0	0.6666666666666666
126	werkzeug	tp	188558714	1	1	1	0	0	1.0
127	coverage	tp	184707356						
128	opentelemetry-exporter-otlp-proto-http	notp	180711310	7	7	3	4	0	0.42857142857142855
129	flask	tp	179837001	7	7	6	1	0	0.8571428571428571
130	pynacl	tp	179832235	2	2	0	2	0	0.0
131	sortedcontainers	notp	179438238						
132	psycopg2-binary	notp	178816947						
133	msgpack	tp	177662789						
134	typer	tp	177593875	4	4	3	1	0	0.75
135	isodate	notp	173050392						
136	pydantic-settings	tp	171679026	3	3	3	0	0	1.0
137	decorator	notp	170226438						
