name	n_dependents	n_tp_dependents	own_download_count
pyyaml	687	232	668225120
grpcio	303	204	304676189
proto-plus	205	186	194614310
scipy	464	166	278660633
httpx	425	157	373997801
protobuf	372	156	512974134
rich	315	128	332901078
python-dateutil	430	119	827266794
tomli	199	114	301801906
psutil	260	78	257412763
django	329	77	34789340
importlib-metadata	229	71	391726979
setuptools	315	66	1190423972
boto3	193	65	1577565199
opentelemetry-api	210	61	211990193
torch	222	60	68285989
colorama	146	58	314755393
sqlalchemy	180	51	282345038
lxml	183	42	212466192
pyarrow	138	41	275444140
opentelemetry-semantic-conventions	100	37	230284804
ruamel-yaml	91	37	139204204
pygments	96	37	567433041
opentelemetry-instrumentation	115	36	124115760
cachetools	96	34	237512456
tabulate	135	34	136902729
six	292	34	794696816
opentelemetry-semantic-conventions-ai	34	33	6703148
fsspec	99	33	563207743
toml	98	33	93680719
beautifulsoup4	129	31	213697886
cffi	82	30	682288214
tomlkit	60	30	228346335
gitpython	78	29	145057865
importlib-resources	104	29	90294326
openai	104	28	168726649
shapely	63	27	59357963
opentelemetry-sdk	102	27	220071714
huggingface-hub	77	24	163933433
botocore	67	24	1062035920
pyparsing	70	23	257232331
markdown	59	23	83181625
backoff	52	21	119702665
deprecated	68	21	129960504
wrapt	113	19	286795424
more-itertools	58	19	208631453
regex	86	19	223705227
redis	62	18	153384547
async-timeout	39	18	138829921
requests-toolbelt	58	18	205718871
pywin32	56	18	44362010
docutils	56	18	201247186
distro	77	18	160348139
openpyxl	48	18	231935749
docker	46	17	114291713
decorator	48	17	170226438
tzlocal	45	16	123258412
opencv-python	42	16	39853192
dill	49	16	115774792
sniffio	70	16	218938831
tiktoken	58	15	87164001
pycryptodome	51	15	67081324
dbt-core	30	14	80661617
asgiref	48	14	86546104
sortedcontainers	38	14	179438238
prompt-toolkit	42	14	131148318
dask	43	14	28463034
watchdog	44	14	74528559
deprecation	41	14	47477906
semver	65	14	59457431
sqlparse	38	13	101190969
isodate	134	13	173050392
alembic	40	13	132602155
einops	49	13	17452757
python-slugify	26	13	53802808
keyring	32	12	143397843
prometheus-client	44	12	123682414
google-cloud-storage	27	12	189597111
psycopg	17	12	39413523
onnxruntime	36	12	33001133
statsmodels	48	12	26960077
pyserial	25	11	11598642
zstandard	33	11	127666341
questionary	25	11	13157241
safetensors	31	11	57888312
websocket-client	44	11	217359034
voluptuous	20	10	5230893
rich-click	17	10	30231468
flake8	50	10	44621946
funcy	13	10	4539503
jsii	61	10	6216435
graphviz	27	10	27635885
torchvision	46	10	26716779
tomli-w	21	10	26940933
py-cpuinfo	20	10	18557458
nltk	39	10	48179542
brotli	27	10	49432755
publication	61	10	5790320
nest-asyncio	36	9	85706954
python-json-logger	20	9	89636311
filetype	26	9	20956557
jsonref	17	9	40149024
lark	28	9	54277882
opentelemetry-exporter-otlp-proto-http	29	9	180711310
xlrd	21	9	48510263
opencv-python-headless	29	9	28682995
jmespath	43	9	435987560
httpcore	30	9	367999600
anthropic	34	9	52864821
accelerate	28	9	18692107
strenum	17	8	15648391
opentelemetry-exporter-otlp	21	8	143735162
pyproj	20	8	18710173
natsort	20	8	16838316
datasets	37	8	53778188
grpcio-status	17	8	734904368
h11	23	8	457173618
frozendict	18	8	23152240
pyelftools	15	8	9044935
seaborn	35	8	36857784
pefile	14	8	4220643
azure-identity	37	7	146904781
tokenizers	26	7	103177334
tldextract	16	7	30403871
deepdiff	21	7	60610399
ipywidgets	41	7	35504690
apache-airflow	112	7	16734909
email-validator	14	7	110833486
dataclasses	29	7	8759375
overrides	14	7	41279455
asn1crypto	18	7	132018510
boltons	10	7	14344398
pydot	25	7	14896377
jsonpatch	21	7	95721283
coloredlogs	22	7	32209573
jsonlines	13	7	10937073
greenlet	19	7	285167012
httpx-sse	9	7	82666055
sentencepiece	31	7	27965186
pyperclip	25	7	45070816
types-pyyaml	11	7	47696216
typing-inspect	27	7	75396909
pymysql	22	6	73454105
enum34	22	6	7828503
gunicorn	19	6	90807569
inflection	24	6	46675822
fastjsonschema	14	6	111456880
numexpr	12	6	12923508
nvidia-ml-py	20	6	13790686
mdit-py-plugins	14	6	33617590
pydub	11	6	15261984
distributed	11	6	10260066
backports-zoneinfo	17	6	8314802
sse-starlette	9	6	80523226
faker	23	6	51435060
portalocker	18	6	57544998
pysocks	13	6	55403893
playwright	24	6	34550983
future	40	6	59521123
unidecode	18	6	25429663
wandb	12	6	19456471
paramiko	47	6	120509249
paho-mqtt	12	6	4560531
arrow	21	6	61036907
sseclient-py	10	6	6144185
pyasn1	31	6	360416630
cython	27	6	92121082
ijson	21	6	34814605
markdown-it-py	24	6	289397710
pycryptodomex	27	6	45535763
mlflow	11	6	31673841
sentry-sdk	26	6	84687520
pyusb	10	6	3246310
sqlglot	26	6	37071150
kubernetes	20	5	129684683
tree-sitter	16	5	59119815
formulaic	7	5	3525498
jsonpath-ng	20	5	65979328
