rank	name	verdict
1	boto3	notp
2	packaging	tp
3	urllib3	tp
4	setuptools	notp
5	certifi	tp
6	requests	tp
7	typing-extensions	tp
8	botocore	notp
9	idna	tp
10	charset-normalizer	tp
11	aiobotocore	tp
12	python-dateutil	notp
13	six	notp
14	cryptography	tp
15	grpcio-status	
16	cffi	notp
17	numpy	tp
18	pyyaml	notp
19	s3transfer	notp
20	pip	tp
21	pycparser	notp
22	pluggy	
23	pydantic	tp
24	pygments	notp
25	s3fs	notp
26	fsspec	notp
27	click	tp
28	protobuf	notp
29	pandas	tp
30	attrs	tp
31	pydantic-core	tp
32	pytest	tp
33	anyio	tp
34	markupsafe	tp
35	h11	notp
36	iniconfig	tp
37	platformdirs	tp
38	jmespath	notp
39	wheel	tp
40	annotated-types	notp
41	filelock	tp
42	jinja2	tp
43	importlib-metadata	notp
44	pathspec	tp
45	pyjwt	tp
46	rsa	notp
47	httpx	notp
48	zipp	notp
49	pytz	
50	httpcore	notp
51	typing-inspection	tp
52	pyasn1	notp
53	aiohttp	tp
54	python-dotenv	tp
55	rich	notp
56	multidict	tp
57	jsonschema	tp
58	google-auth	tp
59	tzdata	tp
60	yarl	tp
61	colorama	notp
62	tqdm	tp
63	google-api-core	tp
64	grpcio	notp
65	tomli	notp
66	awscli	notp
67	virtualenv	tp
68	frozenlist	tp
69	propcache	tp
70	googleapis-common-protos	tp
71	requests-oauthlib	notp
72	rpds-py	tp
73	markdown-it-py	notp
74	referencing	tp
75	aiosignal	tp
76	wrapt	notp
77	greenlet	notp
78	pillow	tp
79	pyasn1-modules	notp
80	sqlalchemy	notp
81	mdurl	notp
82	scipy	notp
83	jsonschema-specifications	tp
84	pyarrow	notp
85	trove-classifiers	tp
86	uvicorn	
87	aiohappyeyeballs	tp
88	starlette	tp
89	oauthlib	tp
90	psutil	notp
91	pyparsing	notp
92	fastapi	tp
93	google-genai	tp
94	cachetools	notp
95	opentelemetry-proto	notp
96	tenacity	tp
97	et-xmlfile	
98	openpyxl	
99	grpcio-tools	notp
100	opentelemetry-semantic-conventions	notp
101	tomlkit	notp
102	regex	notp
103	opentelemetry-sdk	notp
104	sniffio	notp
105	websocket-client	notp
106	yandexcloud	notp
107	soupsieve	tp
108	beautifulsoup4	
109	distlib	notp
110	lxml	notp
111	opentelemetry-api	notp
112	shellingham	tp
113	more-itertools	notp
114	langchain	tp
115	hatchling	
116	requests-toolbelt	notp
117	exceptiongroup	tp
118	docutils	
119	opentelemetry-exporter-otlp-proto-grpc	notp
120	mypy-extensions	notp
121	annotated-doc	tp
122	proto-plus	notp
123	websockets	tp
124	pyopenssl	tp
125	google-cloud-storage	notp
126	werkzeug	tp
127	coverage	tp
128	opentelemetry-exporter-otlp-proto-http	notp
129	flask	tp
130	pynacl	tp
131	sortedcontainers	
132	psycopg2-binary	notp
133	msgpack	tp
134	typer	tp
135	isodate	notp
136	pydantic-settings	tp
137	decorator	
138	openai	notp
139	wcwidth	notp
140	networkx	tp
141	poetry-core	tp
142	dnspython	tp
143	huggingface-hub	notp
144	python-multipart	tp
145	opentelemetry-exporter-otlp-proto-common	notp
146	distro	notp
147	azure-core	notp
148	scikit-learn	tp
149	redis	notp
150	joblib	tp
151	msal	notp
152	ptyprocess	notp
153	pexpect	notp
154	azure-identity	notp
155	bcrypt	tp
156	snowflake-connector-python	notp
157	matplotlib	tp
158	gitpython	notp
159	ruff	tp
160	opentelemetry-exporter-otlp	notp
161	keyring	notp
162	fonttools	tp
163	google-cloud-core	notp
164	jiter	tp
165	ruamel-yaml	
166	async-timeout	notp
167	threadpoolctl	tp
168	itsdangerous	tp
169	tabulate	notp
170	types-requests	notp
171	kiwisolver	tp
172	textual	notp
173	jaraco-classes	notp
174	secretstorage	tp
175	alembic	notp
176	asn1crypto	notp
177	prompt-toolkit	notp
178	jeepney	
179	deprecated	notp
180	smmap	notp
181	kubernetes	notp
182	google-crc32c	notp
183	zstandard	notp
184	chardet	tp
185	google-resumable-media	tp
186	gitdb	notp
187	orjson	tp
188	pytest-cov	notp
189	defusedxml	tp
190	opentelemetry-instrumentation	notp
191	prometheus-client	notp
192	blinker	tp
193	tzlocal	notp
194	editables	notp
195	pyproject-hooks	tp
196	rapidfuzz	tp
197	jaraco-context	notp
198	jaraco-functools	notp
199	contourpy	notp
200	paramiko	notp
201	backoff	notp
202	google-api-python-client	tp
203	build	tp
204	jsonpointer	notp
205	pytest-asyncio	tp
206	dill	notp
207	google-cloud-bigquery	tp
208	docker	notp
209	cycler	tp
210	setuptools-scm	tp
211	google-cloud-aiplatform	tp
212	watchfiles	tp
213	fastjsonschema	notp
214	email-validator	notp
215	cloudpickle	tp
216	mako	notp
217	msal-extensions	notp
218	uritemplate	tp
219	google-auth-oauthlib	notp
220	azure-storage-blob	notp
221	httplib2	tp
222	google-auth-httplib2	notp
223	marshmallow	tp
224	transformers	tp
225	nodeenv	notp
226	tokenizers	notp
227	babel	tp
228	sqlparse	notp
229	hf-xet	tp
230	sympy	tp
231	mypy	notp
232	ipython	tp
233	docstring-parser	tp
234	gcsfs	notp
235	uv	tp
236	aiofiles	tp
237	xmltodict	tp
238	pre-commit	notp
239	uvloop	notp
240	jsonpatch	notp
241	black	tp
242	toml	notp
243	durationpy	notp
244	identify	notp
245	mpmath	notp
246	traitlets	
247	tornado	tp
248	parso	notp
249	cfgv	notp
250	cython	notp
251	jedi	notp
252	gunicorn	notp
253	py4j	
254	google-cloud-secret-manager	tp
255	opentelemetry-util-http	notp
256	importlib-resources	notp
257	python-json-logger	notp
258	opensearch-py	tp
259	executing	notp
260	opentelemetry-instrumentation-requests	notp
261	tiktoken	notp
262	matplotlib-inline	tp
263	httptools	notp
264	asttokens	notp
265	asgiref	notp
266	mcp	tp
267	nest-asyncio	notp
268	langchain-core	tp
269	sentry-sdk	notp
270	grpc-google-iam-v1	tp
271	isort	notp
272	requests-aws4auth	notp
273	markdown	notp
274	webencodings	notp
275	httpx-sse	notp
276	dbt-core	notp
277	stack-data	notp
278	sse-starlette	notp
279	pure-eval	notp
280	cachecontrol	tp
281	grpcio-health-checking	
282	opentelemetry-exporter-prometheus	notp
283	google-cloud-batch	tp
284	pytest-xdist	tp
285	aliyun-python-sdk-core	notp
286	pymongo	tp
287	execnet	
288	awswrangler	tp
289	ply	
290	typing-inspect	notp
291	databricks-sdk	
292	authlib	tp
293	debugpy	notp
294	litellm	tp
295	google-analytics-admin	tp
296	watchdog	notp
297	termcolor	tp
298	pymysql	notp
299	aioitertools	tp
300	typedload	
301	pkginfo	
302	xxhash	tp
303	dulwich	tp
304	pyzmq	tp
305	mccabe	notp
306	installer	tp
307	dbt-adapters	tp
308	ruamel-yaml-clib	
309	typer-slim	tp
310	h2	notp
311	hyperframe	notp
312	pytest-mock	tp
313	hpack	notp
314	events	notp
315	torch	notp
316	msrest	notp
317	pycryptodome	notp
318	pandas-stubs	notp
319	jsonpath-ng	notp
320	poetry	tp
321	dbt-common	tp
322	lz4	notp
323	dataclasses-json	tp
324	pycodestyle	
325	slack-sdk	tp
326	requests-file	
327	langsmith	tp
328	cattrs	tp
329	crashtest	notp
330	pendulum	tp
331	croniter	tp
332	notebook	tp
333	jupyter-core	tp
334	arrow	notp
335	rfc3339-validator	notp
336	argcomplete	tp
337	snowflake-sqlalchemy	notp
338	deepdiff	notp
339	datadog	tp
340	multiprocess	notp
341	pygithub	notp
342	cleo	tp
343	invoke	notp
344	ipykernel	tp
345	future	notp
346	semver	notp
347	shapely	notp
348	wsproto	notp
349	azure-common	notp
350	tree-sitter	notp
351	smart-open	tp
352	tinycss2	tp
353	poetry-plugin-export	tp
354	jupyter-client	tp
355	safetensors	notp
356	databricks-sql-connector	notp
357	portalocker	notp
358	comm	tp
359	loguru	
360	mistune	tp
361	xlsxwriter	notp
362	sphinx	tp
363	types-awscrt	tp
364	text-unidecode	notp
365	py	
366	botocore-stubs	tp
367	narwhals	tp
368	pysocks	notp
369	simplejson	tp
370	bleach	notp
371	structlog	tp
372	backports-tarfile	notp
373	scramp	
374	lark	notp
375	nvidia-nccl-cu12	
376	jsonschema-path	tp
377	types-s3transfer	tp
378	python-slugify	notp
379	datasets	notp
380	google-cloud-monitoring	tp
381	numba	
382	boto3-stubs	notp
383	graphql-core	notp
384	anthropic	notp
385	librt	tp
386	rich-toolkit	
387	google-cloud-vision	tp
388	typeguard	tp
389	opensearch-protobufs	
390	google-cloud-speech	tp
391	google-cloud-kms	tp
392	faker	notp
393	google-cloud-resource-manager	tp
394	nbformat	
395	toolz	tp
396	google-cloud-compute	tp
397	ray	notp
398	google-cloud-tasks	tp
399	pytokens	notp
400	google-cloud-dlp	tp
401	google-cloud-bigtable	tp
402	pbs-installer	tp
403	pyflakes	notp
404	google-cloud-logging	notp
405	brotli	notp
406	nbconvert	
407	zope-interface	tp
408	google-cloud-videointelligence	tp
409	google-cloud-language	tp
410	argon2-cffi	tp
411	argon2-cffi-bindings	notp
412	xlrd	
413	redshift-connector	notp
414	google-cloud-workflows	tp
415	nltk	notp
416	pylint	tp
417	types-pyyaml	notp
418	deprecation	notp
419	google-cloud-os-login	tp
420	elasticsearch	notp
421	google-cloud-dataform	tp
422	types-protobuf	notp
423	sqlalchemy-bigquery	notp
424	pyspark	notp
425	selenium	
426	colorlog	tp
427	inflection	notp
428	responses	notp
429	pathable	tp
430	google-cloud-redis	tp
431	llvmlite	tp
432	ipython-pygments-lexers	tp
433	langchain-openai	tp
434	nbclient	tp
435	tree-sitter-languages	notp
436	pycryptodomex	notp
437	confluent-kafka	notp
438	asyncpg	tp
439	pyperclip	notp
440	plotly	tp
441	json5	notp
442	flake8	notp
443	pywin32	notp
444	google-cloud-memcache	tp
445	flatbuffers	notp
446	findpython	notp
447	astroid	tp
448	humanfriendly	
449	nvidia-cublas-cu12	
450	async-lru	tp
451	jupyterlab	notp
452	google-ads	notp
453	trio	tp
454	triton	
455	jupyter-server	tp
456	types-python-dateutil	notp
457	humanize	tp
458	beartype	tp
459	mypy-boto3-s3	notp
460	mysql-connector-python	notp
461	nvidia-cusparse-cu12	
462	pandocfilters	notp
463	jupyterlab-pygments	notp
464	altair	tp
465	nvidia-nvjitlink-cu12	
466	google-cloud-pubsub	tp
467	overrides	notp
468	aenum	notp
469	opentelemetry-instrumentation-fastapi	notp
470	google-cloud-appengine-logging	tp
471	nvidia-cudnn-cu12	
472	nvidia-cuda-nvrtc-cu12	
473	kombu	
474	outcome	notp
475	nvidia-cufft-cu12	
476	nvidia-cusolver-cu12	
477	psycopg2	notp
478	nvidia-curand-cu12	
479	azure-keyvault-secrets	notp
480	pg8000	
481	jsonref	notp
482	nvidia-cuda-cupti-cu12	
483	opencv-python	notp
484	nvidia-cuda-runtime-cu12	
485	pyee	tp
486	webcolors	notp
487	click-plugins	notp
488	psycopg	notp
489	ecdsa	notp
490	orderly-set	notp
491	flask-cors	tp
492	polars	tp
493	celery	notp
494	absl-py	tp
495	jupyterlab-server	tp
496	send2trash	tp
497	cyclopts	notp
498	opentelemetry-instrumentation-asgi	notp
499	semgrep	notp
500	uuid-utils	tp
501	fqdn	
502	aws-sam-translator	notp
503	nvidia-nvtx-cu12	
504	isoduration	notp
505	uri-template	
506	pymssql	notp
507	pyrsistent	notp
508	apache-beam	
509	pytest-timeout	notp
510	mmh3	tp
511	sqlglot	notp
512	seaborn	notp
513	prettytable	tp
514	fastmcp	tp
515	diskcache	tp
516	db-dtypes	tp
517	rfc3986-validator	notp
518	antlr4-python3-runtime	
519	widgetsnbextension	
520	langchain-community	tp
521	pymupdf	notp
522	jupyterlab-widgets	notp
523	freezegun	tp
524	ipywidgets	
525	xgboost	notp
526	langgraph	tp
527	langchain-text-splitters	tp
528	cfn-lint	notp
529	click-didyoumean	notp
530	billiard	notp
531	gevent	notp
532	appdirs	notp
533	ijson	notp
534	terminado	tp
535	django	notp
536	azure-storage-file-datalake	notp
537	playwright	notp
538	adal	notp
539	jupyter-server-terminals	tp
540	amqp	notp
541	vine	notp
542	thrift	
543	lazy-object-proxy	notp
544	oauth2client	notp
545	nvidia-cusparselt-cu12	
546	mdit-py-plugins	notp
547	azure-mgmt-core	notp
548	jupyter-events	tp
549	trio-websocket	notp
550	google-cloud-audit-log	notp
551	psycopg-binary	notp
552	zeep	tp
553	click-repl	notp
554	aiosqlite	tp
555	fastavro	notp
556	notebook-shim	
557	onnxruntime	
558	pypdf	tp
559	setproctitle	notp
560	retry	notp
561	pyodbc	notp
562	rich-rst	notp
563	coloredlogs	
564	ordered-set	notp
565	fakeredis	tp
566	delta-spark	notp
567	mlflow	notp
568	gspread	notp
569	apache-airflow-providers-common-sql	notp
570	google-cloud-run	tp
571	mashumaro	tp
572	google-cloud-texttospeech	tp
573	google-cloud-bigquery-datatransfer	tp
574	semantic-version	notp
575	jupyter-lsp	notp
576	google-cloud-orchestration-airflow	tp
577	python-jose	notp
578	google-cloud-dataproc-metastore	tp
579	imageio	tp
580	dateparser	tp
581	tldextract	notp
582	purecloudplatformclientv2	
583	azure-storage-queue	notp
584	langgraph-prebuilt	tp
585	ddtrace	notp
586	rich-click	notp
587	types-urllib3	notp
588	h5py	tp
589	inspect-ai	tp
590	snowflake-snowpark-python	notp
591	python-docx	notp
592	nvidia-cufile-cu12	
593	google-cloud-bigquery-storage	tp
594	google-cloud-automl	tp
595	mlflow-skinny	notp
596	rfc3986	
597	py-key-value-aio	
598	universal-pathlib	tp
599	llama-parse	
600	ormsgpack	tp
601	omegaconf	tp
602	sshtunnel	notp
603	dbt-protos	notp
604	moto	tp
605	google-cloud-dataflow-client	tp
606	oss2	
607	pandas-gbq	tp
608	nh3	notp
609	junitparser	notp
610	streamlit	tp
611	aioboto3	tp
612	types-pytz	notp
613	opencv-python-headless	notp
614	gcloud-aio-storage	notp
615	tf-keras-nightly	
616	dask	notp
617	rfc3987-syntax	notp
618	sendgrid	notp
619	langgraph-sdk	tp
620	retrying	tp
621	sentencepiece	notp
622	checkov	tp
623	graphql-relay	notp
624	mergedeep	notp
625	langgraph-checkpoint	tp
626	graphviz	notp
627	pycountry	tp
628	llama-cloud-services	
629	google-pasta	
630	linkify-it-py	tp
631	libcst	tp
632	ujson	tp
633	fastapi-cli	tp
634	graphene	notp
635	snowballstemmer	notp
636	statsmodels	notp
637	tomli-w	notp
638	uc-micro-py	tp
639	bytecode	tp
640	html5lib	notp
641	msgspec	tp
642	pdfminer-six	notp
643	torchvision	notp
644	polars-runtime-32	tp
645	tensorboard	notp
646	mock	notp
647	duckdb	tp
648	entrypoints	notp
649	envier	tp
650	tox	tp
651	opentelemetry-instrumentation-threading	notp
652	elastic-transport	notp
653	zope-event	notp
654	pytest-runner	notp
655	tableauserverclient	notp
656	agate	tp
657	nvidia-nvshmem-cu12	
658	pytest-rerunfailures	notp
659	unidecode	
660	patsy	notp
661	ml-dtypes	tp
662	pbr	
663	simple-salesforce	notp
664	pytimeparse	notp
665	openapi-spec-validator	tp
666	google-cloud-dataproc	tp
667	great-expectations	
668	pydantic-extra-types	tp
669	tooth-python	tp
670	opentelemetry-instrumentation-urllib3	notp
671	pytest-metadata	notp
672	openapi-pydantic	tp
673	types-certifi	notp
674	fastuuid	notp
675	types-setuptools	notp
676	python-telegram-bot	tp
677	tblib	notp
678	pydata-google-auth	notp
679	readme-renderer	tp
680	cramjam	tp
681	griffe	notp
682	google-cloud-firestore	notp
683	parsedatetime	notp
684	passlib	
685	backports-zstd	tp
686	opentelemetry-instrumentation-wsgi	notp
687	inflect	
688	cuda-bindings	tp
689	validators	notp
690	pydocket	tp
691	lockfile	
692	pyright	notp
693	schema	notp
694	mypy-boto3-sts	notp
695	ninja	tp
696	frozendict	notp
697	google-cloud-spanner	tp
698	azure-cosmos	notp
699	apache-airflow-providers-fab	notp
700	pathvalidate	tp
701	opentelemetry-instrumentation-dbapi	notp
702	yamllint	tp
703	pytest-json-ctrf	tp
704	hvac	tp
705	phonenumbers	notp
706	cuda-pathfinder	tp
707	imagesize	notp
708	opentelemetry-instrumentation-urllib	notp
