rank	name
1	boto3
4	setuptools
8	botocore
12	python-dateutil
13	six
15	grpcio-status
16	cffi
18	pyyaml
19	s3transfer
21	pycparser
24	pygments
25	s3fs
26	fsspec
28	protobuf
35	h11
38	jmespath
40	annotated-types
43	importlib-metadata
46	rsa
47	httpx
48	zipp
50	httpcore
52	pyasn1
55	rich
61	colorama
64	grpcio
65	tomli
66	awscli
71	requests-oauthlib
73	markdown-it-py
76	wrapt
77	greenlet
79	pyasn1-modules
80	sqlalchemy
81	mdurl
82	scipy
84	pyarrow
90	psutil
91	pyparsing
94	cachetools
95	opentelemetry-proto
97	et-xmlfile
98	openpyxl
99	grpcio-tools
100	opentelemetry-semantic-conventions
101	tomlkit
102	regex
103	opentelemetry-sdk
104	sniffio
105	websocket-client
106	yandexcloud
108	beautifulsoup4
109	distlib
110	lxml
111	opentelemetry-api
113	more-itertools
116	requests-toolbelt
118	docutils
119	opentelemetry-exporter-otlp-proto-grpc
120	mypy-extensions
122	proto-plus
125	google-cloud-storage
128	opentelemetry-exporter-otlp-proto-http
131	sortedcontainers
132	psycopg2-binary
135	isodate
137	decorator
138	openai
139	wcwidth
143	huggingface-hub
145	opentelemetry-exporter-otlp-proto-common
146	distro
147	azure-core
149	redis
151	msal
152	ptyprocess
153	pexpect
154	azure-identity
156	snowflake-connector-python
158	gitpython
160	opentelemetry-exporter-otlp
161	keyring
163	google-cloud-core
165	ruamel-yaml
166	async-timeout
169	tabulate
170	types-requests
172	textual
173	jaraco-classes
175	alembic
176	asn1crypto
177	prompt-toolkit
179	deprecated
180	smmap
181	kubernetes
182	google-crc32c
183	zstandard
186	gitdb
188	pytest-cov
190	opentelemetry-instrumentation
191	prometheus-client
193	tzlocal
194	editables
197	jaraco-context
198	jaraco-functools
199	contourpy
200	paramiko
201	backoff
204	jsonpointer
206	dill
208	docker
213	fastjsonschema
214	email-validator
216	mako
217	msal-extensions
219	google-auth-oauthlib
220	azure-storage-blob
222	google-auth-httplib2
225	nodeenv
226	tokenizers
228	sqlparse
231	mypy
234	gcsfs
238	pre-commit
239	uvloop
240	jsonpatch
242	toml
243	durationpy
244	identify
245	mpmath
248	parso
249	cfgv
250	cython
251	jedi
252	gunicorn
253	py4j
255	opentelemetry-util-http
256	importlib-resources
257	python-json-logger
259	executing
260	opentelemetry-instrumentation-requests
261	tiktoken
263	httptools
264	asttokens
265	asgiref
267	nest-asyncio
269	sentry-sdk
271	isort
272	requests-aws4auth
273	markdown
274	webencodings
275	httpx-sse
276	dbt-core
277	stack-data
278	sse-starlette
279	pure-eval
281	grpcio-health-checking
282	opentelemetry-exporter-prometheus
285	aliyun-python-sdk-core
289	ply
290	typing-inspect
293	debugpy
296	watchdog
298	pymysql
300	typedload
301	pkginfo
305	mccabe
308	ruamel-yaml-clib
310	h2
311	hyperframe
313	hpack
314	events
315	torch
316	msrest
317	pycryptodome
318	pandas-stubs
319	jsonpath-ng
322	lz4
324	pycodestyle
326	requests-file
329	crashtest
334	arrow
335	rfc3339-validator
337	snowflake-sqlalchemy
338	deepdiff
340	multiprocess
341	pygithub
343	invoke
345	future
346	semver
347	shapely
348	wsproto
349	azure-common
350	tree-sitter
355	safetensors
356	databricks-sql-connector
357	portalocker
361	xlsxwriter
364	text-unidecode
365	py
368	pysocks
370	bleach
372	backports-tarfile
373	scramp
374	lark
375	nvidia-nccl-cu12
378	python-slugify
379	datasets
382	boto3-stubs
383	graphql-core
384	anthropic
392	faker
397	ray
399	pytokens
403	pyflakes
404	google-cloud-logging
