rank	name	version	summary	uploaded_via	upload_time	filename	recent_7d_downloads	github_url	verdict
1	boto3	1.42.54	The AWS SDK for Python	twine/5.1.1 CPython/3.9.22	2026-02-20T20:31:54.553834	boto3-1.42.54.tar.gz	6045291	https://github.com/boto/boto3	notp
2	packaging	26.0	Core utilities for Python packages	twine/6.1.0 CPython/3.13.7	2026-01-21T20:50:39.064191	packaging-26.0.tar.gz	232850789	https://github.com/pypa/packaging	tp
3	urllib3	2.6.3	HTTP library with thread-safe connection pooling, file post, and more.	twine/6.1.0 CPython/3.13.7	2026-01-07T16:24:43.925891	urllib3-2.6.3.tar.gz	190672277	https://github.com/urllib3/urllib3	tp
4	setuptools	82.0.0	Easily download, build, install, upgrade, and uninstall Python packages	twine/6.2.0 CPython/3.14.2	2026-02-08T15:08:40.206525	setuptools-82.0.0.tar.gz	215183274	https://github.com/pypa/setuptools	notp
5	certifi	2026.1.4	Python package for providing Mozilla's CA Bundle.	twine/6.1.0 CPython/3.13.7	2026-01-04T02:42:41.825177	certifi-2026.1.4.tar.gz	220109768	https://github.com/certifi/python-certifi	tp
6	requests	2.32.5	Python HTTP for Humans.	twine/6.1.0 CPython/3.11.2	2025-08-18T20:46:02.573425	requests-2.32.5.tar.gz	185600741	https://github.com/psf/requests	tp
7	typing-extensions	4.15.0	Backported and Experimental Type Hints for Python 3.9+	twine/6.1.0 CPython/3.12.9	2025-08-25T13:49:26.313895	typing_extensions-4.15.0.tar.gz	208107954	https://github.com/python/typing_extensions	tp
8	botocore	1.42.54	Low-level, data-driven core of boto 3.	twine/5.1.1 CPython/3.9.22	2026-02-20T20:31:42.238183	botocore-1.42.54.tar.gz	7954890	https://github.com/boto/botocore	notp
9	idna	3.11	Internationalized Domain Names in Applications (IDNA)	twine/6.1.0 CPython/3.12.9	2025-10-12T14:55:20.501377	idna-3.11.tar.gz	209673024	https://github.com/kjd/idna	tp
10	charset-normalizer	3.4.4	The Real First Universal Charset Detector. Open, modern and actively maintained alternative to Chardet.	twine/6.1.0 CPython/3.13.7	2025-10-14T04:42:32.879080	charset_normalizer-3.4.4.tar.gz	212080806	https://github.com/jawah/charset_normalizer	tp
11	aiobotocore	3.1.3	Async client for aws services using botocore and aiohttp	twine/6.1.0 CPython/3.13.7	2026-02-14T12:11:01.745017	aiobotocore-3.1.3.tar.gz	4681367	https://github.com/aio-libs/aiobotocore	tp
12	python-dateutil	2.9.0.post0	Extensions to the standard Python datetime module	twine/5.0.0 CPython/3.9.18	2024-03-01T18:36:20.211056	python-dateutil-2.9.0.post0.tar.gz	190268774	https://github.com/dateutil/dateutil	notp
