rank	name
2	packaging
3	urllib3
5	certifi
6	requests
7	typing-extensions
9	idna
10	charset-normalizer
11	aiobotocore
14	cryptography
17	numpy
20	pip
22	pluggy
23	pydantic
27	click
29	pandas
30	attrs
31	pydantic-core
32	pytest
33	anyio
34	markupsafe
36	iniconfig
37	platformdirs
39	wheel
41	filelock
42	jinja2
44	pathspec
45	pyjwt
49	pytz
51	typing-inspection
53	aiohttp
54	python-dotenv
56	multidict
57	jsonschema
58	google-auth
59	tzdata
60	yarl
62	tqdm
63	google-api-core
67	virtualenv
68	frozenlist
69	propcache
70	googleapis-common-protos
72	rpds-py
74	referencing
75	aiosignal
78	pillow
83	jsonschema-specifications
85	trove-classifiers
86	uvicorn
87	aiohappyeyeballs
88	starlette
89	oauthlib
92	fastapi
93	google-genai
96	tenacity
107	soupsieve
112	shellingham
114	langchain
115	hatchling
117	exceptiongroup
121	annotated-doc
123	websockets
124	pyopenssl
126	werkzeug
127	coverage
129	flask
130	pynacl
133	msgpack
134	typer
136	pydantic-settings
140	networkx
141	poetry-core
142	dnspython
144	python-multipart
148	scikit-learn
150	joblib
155	bcrypt
157	matplotlib
159	ruff
162	fonttools
164	jiter
167	threadpoolctl
168	itsdangerous
171	kiwisolver
174	secretstorage
178	jeepney
184	chardet
185	google-resumable-media
187	orjson
189	defusedxml
192	blinker
195	pyproject-hooks
196	rapidfuzz
202	google-api-python-client
203	build
205	pytest-asyncio
207	google-cloud-bigquery
209	cycler
210	setuptools-scm
211	google-cloud-aiplatform
212	watchfiles
215	cloudpickle
218	uritemplate
221	httplib2
223	marshmallow
224	transformers
227	babel
229	hf-xet
230	sympy
232	ipython
233	docstring-parser
235	uv
236	aiofiles
237	xmltodict
241	black
246	traitlets
247	tornado
254	google-cloud-secret-manager
258	opensearch-py
262	matplotlib-inline
266	mcp
268	langchain-core
270	grpc-google-iam-v1
280	cachecontrol
283	google-cloud-batch
284	pytest-xdist
286	pymongo
287	execnet
288	awswrangler
291	databricks-sdk
292	authlib
294	litellm
295	google-analytics-admin
297	termcolor
299	aioitertools
302	xxhash
303	dulwich
304	pyzmq
306	installer
307	dbt-adapters
309	typer-slim
312	pytest-mock
320	poetry
321	dbt-common
323	dataclasses-json
325	slack-sdk
327	langsmith
328	cattrs
330	pendulum
331	croniter
332	notebook
333	jupyter-core
336	argcomplete
339	datadog
342	cleo
344	ipykernel
351	smart-open
352	tinycss2
353	poetry-plugin-export
354	jupyter-client
358	comm
359	loguru
360	mistune
362	sphinx
363	types-awscrt
366	botocore-stubs
367	narwhals
369	simplejson
371	structlog
376	jsonschema-path
377	types-s3transfer
380	google-cloud-monitoring
381	numba
385	librt
386	rich-toolkit
387	google-cloud-vision
388	typeguard
389	opensearch-protobufs
390	google-cloud-speech
391	google-cloud-kms
393	google-cloud-resource-manager
394	nbformat
395	toolz
396	google-cloud-compute
398	google-cloud-tasks
400	google-cloud-dlp
401	google-cloud-bigtable
402	pbs-installer
406	nbconvert
407	zope-interface
408	google-cloud-videointelligence
409	google-cloud-language
410	argon2-cffi
414	google-cloud-workflows
416	pylint
419	google-cloud-os-login
421	google-cloud-dataform
426	colorlog
429	pathable
430	google-cloud-redis
431	llvmlite
432	ipython-pygments-lexers
433	langchain-openai
434	nbclient
438	asyncpg
440	plotly
444	google-cloud-memcache
447	astroid
450	async-lru
453	trio
455	jupyter-server
457	humanize
458	beartype
464	altair
466	google-cloud-pubsub
470	google-cloud-appengine-logging
485	pyee
491	flask-cors
492	polars
494	absl-py
495	jupyterlab-server
496	send2trash
500	uuid-utils
