slug,github_url,error
TheDevFromKer__Fake-Headers,https://github.com/TheDevFromKer/Fake-Headers,clone timed out for TheDevFromKer/Fake-Headers
liluo__telegram,https://github.com/liluo/telegram,clone timed out for liluo/telegram
yourusername__running-process,https://github.com/yourusername/running-process,clone timed out for yourusername/running-process
guardian__python-alerta,https://github.com/guardian/python-alerta,clone timed out for guardian/python-alerta
Qwen__Qwen3-ASR,https://github.com/Qwen/Qwen3-ASR,clone timed out for Qwen/Qwen3-ASR
miedzinski__google-oauth2-service,https://github.com/miedzinski/google-oauth2-service,clone timed out for miedzinski/google-oauth2-service
datamade__dedupe-variable-datetime,https://github.com/datamade/dedupe-variable-datetime,clone timed out for datamade/dedupe-variable-datetime
nowak-ninja__awscli-plugin-s3-proxy,https://github.com/nowak-ninja/awscli-plugin-s3-proxy,clone timed out for nowak-ninja/awscli-plugin-s3-proxy
SimpleDataLabsInc__prophecy-python-libs,https://github.com/SimpleDataLabsInc/prophecy-python-libs,clone timed out for SimpleDataLabsInc/prophecy-python-libs
espressif__esp-bool-parsers,https://github.com/espressif/esp-bool-parsers,clone timed out for espressif/esp-bool-parsers
yourusername__blender-mcp,https://github.com/yourusername/blender-mcp,clone timed out for yourusername/blender-mcp
Lightning-AI__lightning-sandbox,https://github.com/Lightning-AI/lightning-sandbox,clone timed out for Lightning-AI/lightning-sandbox
mchampanis__requests-ntlm3,https://github.com/mchampanis/requests-ntlm3,clone timed out for mchampanis/requests-ntlm3
sponsors__ofek,https://github.com/sponsors/ofek,clone timed out for sponsors/ofek
darrenburns__pytest-textual-snapshot,https://github.com/darrenburns/pytest-textual-snapshot,clone timed out for darrenburns/pytest-textual-snapshot
b2wdigital__aiologger,https://github.com/b2wdigital/aiologger,clone timed out for b2wdigital/aiologger
twopirllc__pandas-ta,https://github.com/twopirllc/pandas-ta,clone timed out for twopirllc/pandas-ta
astronomerio__boa,https://github.com/astronomerio/boa,clone timed out for astronomerio/boa
gangverk__flask-swagger,https://github.com/gangverk/flask-swagger,clone timed out for gangverk/flask-swagger
spotinst__spotinst-spectrum-agent,https://github.com/spotinst/spotinst-spectrum-agent,clone timed out for spotinst/spotinst-spectrum-agent
Qwen__Qwen3-TTS,https://github.com/Qwen/Qwen3-TTS,clone timed out for Qwen/Qwen3-TTS
pkeilbach__pyredis,https://github.com/pkeilbach/pyredis,clone timed out for pkeilbach/pyredis
kamo-naoyuki__torch_complex,https://github.com/kamo-naoyuki/torch_complex,clone timed out for kamo-naoyuki/torch_complex
sponsors__encode,https://github.com/sponsors/encode,clone timed out for sponsors/encode
sponsors__python-scim,https://github.com/sponsors/python-scim,clone timed out for sponsors/python-scim
chrislim2888__ip2location-python,https://github.com/chrislim2888/ip2location-python,clone timed out for chrislim2888/ip2location-python
tomquirk__linkedin-api,https://github.com/tomquirk/linkedin-api,clone timed out for tomquirk/linkedin-api
wilbertom__bunch-py3,https://github.com/wilbertom/bunch-py3,clone timed out for wilbertom/bunch-py3
unknown__haystack-pydoc-tools,https://github.com/unknown/haystack-pydoc-tools,clone timed out for unknown/haystack-pydoc-tools
timofurrer__singleton,https://github.com/timofurrer/singleton,clone timed out for timofurrer/singleton
mosaicml__mosaicml-cli,https://github.com/mosaicml/mosaicml-cli,clone timed out for mosaicml/mosaicml-cli
davidism__flask-orjson,https://github.com/davidism/flask-orjson,clone timed out for davidism/flask-orjson
achillesrasquinha__bpyutils,https://github.com/achillesrasquinha/bpyutils,clone timed out for achillesrasquinha/bpyutils
